Depth  Name              #Inst  Area (um^2) 
--------------------------------------------
0      aes_128_top       131555 8523275.4424
1      bloco             131154 2152744.0704
2      bloco/a6          2407   47982.1608  
2      bloco/r5          10804  167376.4848 
2      bloco/a9          2406   47791.548   
2      bloco/r6          10817  167936.0256 
2      bloco/r7          10762  166709.34   
2      bloco/a4          2410   48059.0208  
2      bloco/a2          2409   47696.2416  
2      bloco/r3          10790  167281.1784 
2      bloco/a7          2408   48145.104   
2      bloco/r4          11165  172009.6056 
2      bloco/r1          11131  170684.5392 
2      bloco/r2          10818  167714.6688 
2      bloco/a1          2443   47828.4408  
2      bloco/a5          2390   47985.2352  
2      bloco/r8          11147  172338.5664 
2      bloco/a8          2398   47856.1104  
2      bloco/r9          10719  166500.2808 
2      bloco/rf          7812   118472.004  
2      bloco/a3          2390   47776.176   
2      bloco/a10         2308   39613.644   
3      bloco/r7/t1_t1    617    8697.4776   
3      bloco/r9/t2_t1    612    8937.2808   
3      bloco/r2/t3_t0    947    13453.5744  
3      bloco/r8/t0_t0    954    13545.8064  
3      bloco/r4/t2_t0    955    13591.9224  
3      bloco/r7/t3_t1    598    8639.064    
3      bloco/r6/t3_t0    596    8706.7008   
3      bloco/r4/t1_t0    619    9063.3312   
3      bloco/r1/t1_t3    959    13613.4432  
3      bloco/r7/t1_t3    606    8906.5368   
3      bloco/r3/t3_t3    607    8596.0224   
3      bloco/r3/t3_t0    623    8795.8584   
3      bloco/r9/t0_t3    589    8445.3768   
3      bloco/r9/t0_t0    598    8752.8168   
3      bloco/r5/t2_t0    611    8949.5784   
3      bloco/r7/t3_t0    620    8715.924    
3      bloco/r2/t0_t2    631    8863.4952   
3      bloco/r9/t3_t0    951    13551.9552  
3      bloco/r6/t0_t3    629    8841.9744   
3      bloco/r2/t2_t3    614    8986.4712   
3      bloco/r8/t1_t3    958    13638.0384  
3      bloco/r4/t3_t3    953    13628.8152  
3      bloco/r1/t3_t3    590    8586.7992   
3      bloco/r2/t1_t3    612    8632.9152   
3      bloco/r5/t2_t2    588    8414.6328   
3      bloco/r2/t0_t1    595    8623.692    
3      bloco/r3/t0_t2    588    8608.32     
3      bloco/r7/t1_t2    591    8577.576    
3      bloco/r7/t0_t3    601    8537.6088   
3      bloco/r9/t1_t3    590    8574.5016   
3      bloco/r3/t1_t3    601    8675.9568   
3      bloco/r7/t3_t3    589    8589.8736   
3      bloco/r4/t1_t2    619    8746.668    
3      bloco/r6/t2_t2    621    8715.924    
3      bloco/r4/t0_t2    620    8700.552    
